테스트,Test
203mm 곡사포 착탄 (몹),
"대상을 강타해 {0} 피해를 주고, 일정 확률로 해당 라운드 동안 행동 불가 상태로 만듭니다.",
"대상에게 돌진해 {0} 피해를 주고, 뒤로 1칸 밀며 대상에게 걸린 행 보호 또는 열 보호 효과를 해제합니다.",
"전투 개시 시, 3라운드 동안 행 보호 효과를 활성화하며 방어력이 증가합니다.",
광란의 학살,
"순식간에 대상에게 접근해 {0} 피해를 줍니다. 방어막 / 피해 감소 / 보호 효과를 무시하며, 대상의 HP가 낮을수록 피해량이 증가합니다.",
확산 플라즈마 입자포,
지정 범위에 보호 효과를 무시하고 {0} 피해를 주는 확산 입자포를 발사합니다. 표식 상태인 대상에게 피해량이 증가합니다.,
메가 플라즈마 캐논,
"지정 행에 {0} 피해를 주는 플라즈마 입자포를 발사합니다. 보호 효과를 무시하며, 표식 상태인 대상에게 피해량이 크게 증가합니다.",
특수 합금 발사구,
"라운드 개시 시 에너지 충전 상태인 경우, 공격하기 전까지는 방어력과 효과 저항이 크게 증가합니다.",
최대 출력,
"에너지 충전 중첩이 4 이상이면, 공격할 때 방어막과 피해 감소 효과를 무시합니다.",
시스템 정지,
"사망할 경우, 관련된 모든 시스템이 정지합니다.",
시스템 해킹,
스카디의 해킹으로 인해 3라운드 동안 공격력과 행동력이 감소합니다.,
플라즈마 커터,
플라즈마 커터로 {0} 피해를 줍니다. 대상이 표식 상태면 피해량이 증가합니다.,
대공 펄스 빔 포,
목표 열에 {0} 피해를 줍니다. 대상이 기동형이면 피해량이 증가합니다.,
재 조준,
"공격 시, 적중 강화 상태면 적중이 추가로 증가합니다.",
"에너지 충전 중첩이 5 이상이면, 적중이 증가하며 반격합니다.",
록 온 센서,
"목표 대상을 조준해 3라운드 동안 표식을 설정하고, 받는 피해가 증가하며 회피가 감소한 상태로 만듭니다.",
다중 록 온 시스템,
"목표 대상들을 조준해 3라운드 동안 표식을 설정하고, 받는 피해가 증가하며 회피가 감소한 상태로 만듭니다.",
조준 보정 시스템,
"라운드 개시 시, 자신의 현재 HP 비율에 따라 주변 장치에게 적중 증가 효과를 줍니다.",
"에너지 충전 중첩이 3 이상이면, 방해 효과를 걸 확률이 증가합니다.",
조준 보정 시스템 (60%),
조준 보정 시스템 (40%),
에너지 충전,
"각 장치들에게 에너지를 전달해, 공격력을 증가시킵니다.",
에너지 실드,
"에너지 실드를 전개해 2라운드 동안 피해를 흡수하는 방어막을 부여하고, 상태 이상을 해제합니다.",
재충전 개시,
"라운드 개시 시, HP가 50% 이하면 자신에게 걸린 해로운 효과를 모두 제거하고 받는 피해가 감소하며 효과 저항이 증가합니다.",
제네레이터 쇼트,
"피격 시, 일정 확률로 쇼트가 생겨 2라운드 동안 행동 불능이 됩니다.",
S.C. 머신건,
머신건 사격으로 {0} 피해를 줍니다. 대상이 회피 감소 상태면 피해량이 증가합니다.,
근접 난사,
머신건 근접 사격으로 {0} 피해를 줍니다. 대상이 방어 감소 상태면 피해량이 증가합니다.,
기동 준비,
적을 공격하기 전까지 행동력이 감소하며 받는 피해가 증가합니다.,
"전투 시작 시, 행동 속도 감소. 받는 피해 증가.",
전투 적응 회로,
"라운드 개시 시, 공격력 / 방어력 / 명중 / 회피가 증가합니다. 해당 효과는 중첩됩니다.",
매 라운드 공격력과 방어력 증가.,
칙 기회 포착,
"회피 성공 시, 적의 빈틈을 노려 반격 합니다.",
이동 불가 대상 피해량 증가.,
플라즈마 광탄,
"전격구를 발사해 {0} 전기 속성 피해를 줍니다. 대상이 감전 상태면 회피를 감소시키며, 일정 확률로 행동 불능 상태로 만듭니다.",
광탄 난사,Lightball Barrage
방전 공격으로 보호 효과를 무시하고 {0} 전기 속성 피해를 줍니다. 일정 확률로 대상을 감전시켜 3라운드 동안 행동력과 회피를 낮춥니다.,
방어 감소 10% 디버프 더미,
방어력 감소 10%,
표준S 버프 더미 Lv.1,
표준S 버프 더미 Lv.2,
표준S 버프 더미 Lv.3,
표준S 버프 더미 Lv.4,
표준S 버프 더미 Lv.5,
표준S 버프 더미 Lv.6,
표준S 버프 더미 Lv.7,
표준S 버프 더미 Lv.8,
표준S 버프 더미 Lv.9,
표준S 버프 더미 Lv.10,
표준S 버프 더미 Lv.11,
표준S 버프 더미 Lv.12,
표준S 버프 더미 Lv.13,
표준S 버프 더미 Lv.14,
표준S 버프 더미 Lv.15,
표준S 버프 더미 Lv.16,
표준S 버프 더미 Lv.17,
표준S 버프 더미 Lv.18,
표준S 버프 더미 Lv.19,
표준S 버프 더미 Lv.20,
돌격S 버프 더미 Lv.1,
돌격S 버프 더미 Lv.2,
돌격S 버프 더미 Lv.3,
돌격S 버프 더미 Lv.4,
돌격S 버프 더미 Lv.5,
돌격S 버프 더미 Lv.6,
돌격S 버프 더미 Lv.7,
돌격S 버프 더미 Lv.8,
돌격S 버프 더미 Lv.9,
돌격S 버프 더미 Lv.10,
돌격S 버프 더미 Lv.11,
돌격S 버프 더미 Lv.12,
돌격S 버프 더미 Lv.13,
돌격S 버프 더미 Lv.14,
돌격S 버프 더미 Lv.15,
돌격S 버프 더미 Lv.16,
돌격S 버프 더미 Lv.17,
돌격S 버프 더미 Lv.18,
돌격S 버프 더미 Lv.19,
돌격S 버프 더미 Lv.20,
대응S 버프 더미 Lv.1,
대응S 버프 더미 Lv.2,
대응S 버프 더미 Lv.3,
대응S 버프 더미 Lv.4,
대응S 버프 더미 Lv.5,
대응S 버프 더미 Lv.6,
대응S 버프 더미 Lv.7,
대응S 버프 더미 Lv.8,
대응S 버프 더미 Lv.9,
대응S 버프 더미 Lv.10,
대응S 버프 더미 Lv.11,
대응S 버프 더미 Lv.12,
대응S 버프 더미 Lv.13,
대응S 버프 더미 Lv.14,
대응S 버프 더미 Lv.15,
대응S 버프 더미 Lv.16,
대응S 버프 더미 Lv.17,
대응S 버프 더미 Lv.18,
대응S 버프 더미 Lv.19,
대응S 버프 더미 Lv.20,
방어S 버프 더미 Lv.1,
방어S 버프 더미 Lv.2,
방어S 버프 더미 Lv.3,
방어S 버프 더미 Lv.4,
방어S 버프 더미 Lv.5,
방어S 버프 더미 Lv.6,
방어S 버프 더미 Lv.7,
방어S 버프 더미 Lv.8,
방어S 버프 더미 Lv.9,
방어S 버프 더미 Lv.10,
방어S 버프 더미 Lv.11,
방어S 버프 더미 Lv.12,
방어S 버프 더미 Lv.13,
방어S 버프 더미 Lv.14,
방어S 버프 더미 Lv.15,
방어S 버프 더미 Lv.16,
방어S 버프 더미 Lv.17,
방어S 버프 더미 Lv.18,
방어S 버프 더미 Lv.19,
방어S 버프 더미 Lv.20,
강습S 버프 더미 Lv.1,
강습S 버프 더미 Lv.2,
강습S 버프 더미 Lv.3,
강습S 버프 더미 Lv.4,
강습S 버프 더미 Lv.5,
강습S 버프 더미 Lv.6,
강습S 버프 더미 Lv.7,
강습S 버프 더미 Lv.8,
강습S 버프 더미 Lv.9,
강습S 버프 더미 Lv.10,
강습S 버프 더미 Lv.11,
강습S 버프 더미 Lv.12,
강습S 버프 더미 Lv.13,
강습S 버프 더미 Lv.14,
강습S 버프 더미 Lv.15,
강습S 버프 더미 Lv.16,
강습S 버프 더미 Lv.17,
강습S 버프 더미 Lv.18,
강습S 버프 더미 Lv.19,
강습S 버프 더미 Lv.20,
긴급S 버프 더미 Lv.1,
긴급S 버프 더미 Lv.2,
긴급S 버프 더미 Lv.3,
긴급S 버프 더미 Lv.4,
긴급S 버프 더미 Lv.5,
긴급S 버프 더미 Lv.6,
긴급S 버프 더미 Lv.7,
긴급S 버프 더미 Lv.8,
긴급S 버프 더미 Lv.9,
긴급S 버프 더미 Lv.10,
긴급S 버프 더미 Lv.11,
긴급S 버프 더미 Lv.12,
긴급S 버프 더미 Lv.13,
긴급S 버프 더미 Lv.14,
긴급S 버프 더미 Lv.15,
긴급S 버프 더미 Lv.16,
긴급S 버프 더미 Lv.17,
긴급S 버프 더미 Lv.18,
긴급S 버프 더미 Lv.19,
긴급S 버프 더미 Lv.20,
대 기동 버프 더미 Lv.1,
대 기동 버프 더미 Lv.2,
대 기동 버프 더미 Lv.3,
대 기동 버프 더미 Lv.4,
대 기동 버프 더미 Lv.5,
대 기동 버프 더미 Lv.6,
대 기동 버프 더미 Lv.7,
대 기동 버프 더미 Lv.8,
대 기동 버프 더미 Lv.9,
대 기동 버프 더미 Lv.10,
대 기동 버프 더미 Lv.11,
대 기동 버프 더미 Lv.12,
대 기동 버프 더미 Lv.13,
대 기동 버프 더미 Lv.14,
대 기동 버프 더미 Lv.15,
대 기동 버프 더미 Lv.16,
대 기동 버프 더미 Lv.17,
대 기동 버프 더미 Lv.18,
대 기동 버프 더미 Lv.19,
대 기동 버프 더미 Lv.20,
대 경장 버프 더미 Lv.1,
대 경장 버프 더미 Lv.2,
대 경장 버프 더미 Lv.3,
대 경장 버프 더미 Lv.4,
대 경장 버프 더미 Lv.5,
대 경장 버프 더미 Lv.6,
대 경장 버프 더미 Lv.7,
대 경장 버프 더미 Lv.8,
대 경장 버프 더미 Lv.9,
대 경장 버프 더미 Lv.10,
대 경장 버프 더미 Lv.11,
대 경장 버프 더미 Lv.12,
대 경장 버프 더미 Lv.13,
대 경장 버프 더미 Lv.14,
대 경장 버프 더미 Lv.15,
대 경장 버프 더미 Lv.16,
대 경장 버프 더미 Lv.17,
대 경장 버프 더미 Lv.18,
대 경장 버프 더미 Lv.19,
대 경장 버프 더미 Lv.20,
대 중장 버프 더미 Lv.1,
대 중장 버프 더미 Lv.2,
대 중장 버프 더미 Lv.3,
대 중장 버프 더미 Lv.4,
대 중장 버프 더미 Lv.5,
대 중장 버프 더미 Lv.6,
대 중장 버프 더미 Lv.7,
대 중장 버프 더미 Lv.8,
대 중장 버프 더미 Lv.9,
대 중장 버프 더미 Lv.10,
대 중장 버프 더미 Lv.11,
대 중장 버프 더미 Lv.12,
대 중장 버프 더미 Lv.13,
대 중장 버프 더미 Lv.14,
대 중장 버프 더미 Lv.15,
대 중장 버프 더미 Lv.16,
대 중장 버프 더미 Lv.17,
대 중장 버프 더미 Lv.18,
대 중장 버프 더미 Lv.19,
대 중장 버프 더미 Lv.20,
고속 학습 버프 더미 Lv.1,
고속 학습 버프 더미 Lv.2,
고속 학습 버프 더미 Lv.3,
고속 학습 버프 더미 Lv.4,
고속 학습 버프 더미 Lv.5,
고속 학습 버프 더미 Lv.6,
고속 학습 버프 더미 Lv.7,
고속 학습 버프 더미 Lv.8,
고속 학습 버프 더미 Lv.9,
고속 학습 버프 더미 Lv.10,
고속 학습 버프 더미 Lv.11,
고속 학습 버프 더미 Lv.12,
고속 학습 버프 더미 Lv.13,
고속 학습 버프 더미 Lv.14,
고속 학습 버프 더미 Lv.15,
고속 학습 버프 더미 Lv.16,
고속 학습 버프 더미 Lv.17,
고속 학습 버프 더미 Lv.18,
고속 학습 버프 더미 Lv.19,
고속 학습 버프 더미 Lv.20,
보조 에너지 팩 버프 더미 Lv.1,
보조 에너지 팩 버프 더미 Lv.2,
보조 에너지 팩 버프 더미 Lv.3,
보조 에너지 팩 버프 더미 Lv.4,
보조 에너지 팩 버프 더미 Lv.5,
보조 에너지 팩 버프 더미 Lv.6,
보조 에너지 팩 버프 더미 Lv.7,
보조 에너지 팩 버프 더미 Lv.8,
보조 에너지 팩 버프 더미 Lv.9,
보조 에너지 팩 버프 더미 Lv.10,
보조 에너지 팩 버프 더미 Lv.11,
보조 에너지 팩 버프 더미 Lv.12,
보조 에너지 팩 버프 더미 Lv.13,
보조 에너지 팩 버프 더미 Lv.14,
보조 에너지 팩 버프 더미 Lv.15,
보조 에너지 팩 버프 더미 Lv.16,
보조 에너지 팩 버프 더미 Lv.17,
보조 에너지 팩 버프 더미 Lv.18,
보조 에너지 팩 버프 더미 Lv.19,
보조 에너지 팩 버프 더미 Lv.20,
관측 장비 버프 더미 Lv.1,
관측 장비 버프 더미 Lv.2,
관측 장비 버프 더미 Lv.3,
관측 장비 버프 더미 Lv.4,
관측 장비 버프 더미 Lv.5,
관측 장비 버프 더미 Lv.6,
관측 장비 버프 더미 Lv.7,
관측 장비 버프 더미 Lv.8,
관측 장비 버프 더미 Lv.9,
관측 장비 버프 더미 Lv.10,
관측 장비 버프 더미 Lv.11,
관측 장비 버프 더미 Lv.12,
관측 장비 버프 더미 Lv.13,
관측 장비 버프 더미 Lv.14,
관측 장비 버프 더미 Lv.15,
관측 장비 버프 더미 Lv.16,
관측 장비 버프 더미 Lv.17,
관측 장비 버프 더미 Lv.18,
관측 장비 버프 더미 Lv.19,
관측 장비 버프 더미 Lv.20,
공간 장갑 버프 더미 Lv.1,
공간 장갑 버프 더미 Lv.2,
공간 장갑 버프 더미 Lv.3,
공간 장갑 버프 더미 Lv.4,
공간 장갑 버프 더미 Lv.5,
공간 장갑 버프 더미 Lv.6,
공간 장갑 버프 더미 Lv.7,
공간 장갑 버프 더미 Lv.8,
공간 장갑 버프 더미 Lv.9,
공간 장갑 버프 더미 Lv.10,
공간 장갑 버프 더미 Lv.11,
공간 장갑 버프 더미 Lv.12,
공간 장갑 버프 더미 Lv.13,
공간 장갑 버프 더미 Lv.14,
공간 장갑 버프 더미 Lv.15,
공간 장갑 버프 더미 Lv.16,
공간 장갑 버프 더미 Lv.17,
공간 장갑 버프 더미 Lv.18,
공간 장갑 버프 더미 Lv.19,
공간 장갑 버프 더미 Lv.20,
보조 부스터 버프 더미 Lv.1,
보조 부스터 버프 더미 Lv.2,
보조 부스터 버프 더미 Lv.3,
보조 부스터 버프 더미 Lv.4,
보조 부스터 버프 더미 Lv.5,
보조 부스터 버프 더미 Lv.6,
보조 부스터 버프 더미 Lv.7,
보조 부스터 버프 더미 Lv.8,
보조 부스터 버프 더미 Lv.9,
보조 부스터 버프 더미 Lv.10,
보조 부스터 버프 더미 Lv.11,
보조 부스터 버프 더미 Lv.12,
보조 부스터 버프 더미 Lv.13,
보조 부스터 버프 더미 Lv.14,
보조 부스터 버프 더미 Lv.15,
보조 부스터 버프 더미 Lv.16,
보조 부스터 버프 더미 Lv.17,
보조 부스터 버프 더미 Lv.18,
보조 부스터 버프 더미 Lv.19,
보조 부스터 버프 더미 Lv.20,
초정밀 조준 버프 더미 Lv.1,
초정밀 조준 버프 더미 Lv.2,
초정밀 조준 버프 더미 Lv.3,
초정밀 조준 버프 더미 Lv.4,
초정밀 조준 버프 더미 Lv.5,
초정밀 조준 버프 더미 Lv.6,
초정밀 조준 버프 더미 Lv.7,
초정밀 조준 버프 더미 Lv.8,
초정밀 조준 버프 더미 Lv.9,
초정밀 조준 버프 더미 Lv.10,
초정밀 조준 버프 더미 Lv.11,
초정밀 조준 버프 더미 Lv.12,
초정밀 조준 버프 더미 Lv.13,
초정밀 조준 버프 더미 Lv.14,
초정밀 조준 버프 더미 Lv.15,
초정밀 조준 버프 더미 Lv.16,
초정밀 조준 버프 더미 Lv.17,
초정밀 조준 버프 더미 Lv.18,
초정밀 조준 버프 더미 Lv.19,
초정밀 조준 버프 더미 Lv.20,
대 장갑 버프 더미 Lv.1,
대 장갑 버프 더미 Lv.2,
대 장갑 버프 더미 Lv.3,
대 장갑 버프 더미 Lv.4,
대 장갑 버프 더미 Lv.5,
대 장갑 버프 더미 Lv.6,
대 장갑 버프 더미 Lv.7,
대 장갑 버프 더미 Lv.8,
대 장갑 버프 더미 Lv.9,
대 장갑 버프 더미 Lv.10,
대 장갑 버프 더미 Lv.11,
대 장갑 버프 더미 Lv.12,
대 장갑 버프 더미 Lv.13,
대 장갑 버프 더미 Lv.14,
대 장갑 버프 더미 Lv.15,
대 장갑 버프 더미 Lv.16,
대 장갑 버프 더미 Lv.17,
대 장갑 버프 더미 Lv.18,
대 장갑 버프 더미 Lv.19,
대 장갑 버프 더미 Lv.20,
역장 중화 버프 더미 Lv.1,
역장 중화 버프 더미 Lv.2,
역장 중화 버프 더미 Lv.3,
역장 중화 버프 더미 Lv.4,
역장 중화 버프 더미 Lv.5,
역장 중화 버프 더미 Lv.6,
역장 중화 버프 더미 Lv.7,
역장 중화 버프 더미 Lv.8,
역장 중화 버프 더미 Lv.9,
역장 중화 버프 더미 Lv.10,
역장 중화 버프 더미 Lv.11,
역장 중화 버프 더미 Lv.12,
역장 중화 버프 더미 Lv.13,
역장 중화 버프 더미 Lv.14,
역장 중화 버프 더미 Lv.15,
역장 중화 버프 더미 Lv.16,
역장 중화 버프 더미 Lv.17,
역장 중화 버프 더미 Lv.18,
역장 중화 버프 더미 Lv.19,
역장 중화 버프 더미 Lv.20,
방어 역장 버프 더미 Lv.1,
방어 역장 버프 더미 Lv.2,
방어 역장 버프 더미 Lv.3,
방어 역장 버프 더미 Lv.4,
방어 역장 버프 더미 Lv.5,
방어 역장 버프 더미 Lv.6,
방어 역장 버프 더미 Lv.7,
방어 역장 버프 더미 Lv.8,
방어 역장 버프 더미 Lv.9,
방어 역장 버프 더미 Lv.10,
방어 역장 버프 더미 Lv.11,
방어 역장 버프 더미 Lv.12,
방어 역장 버프 더미 Lv.13,
방어 역장 버프 더미 Lv.14,
방어 역장 버프 더미 Lv.15,
방어 역장 버프 더미 Lv.16,
방어 역장 버프 더미 Lv.17,
방어 역장 버프 더미 Lv.18,
방어 역장 버프 더미 Lv.19,
방어 역장 버프 더미 Lv.20,
정찰 드론 버프 더미 Lv.1,
전투 자극 버프 더미 Lv.1,
전투 자극 버프 더미 Lv.2,
전투 자극 버프 더미 Lv.3,
전투 자극 버프 더미 Lv.4,
전투 자극 버프 더미 Lv.5,
전투 자극 버프 더미 Lv.6,
전투 자극 버프 더미 Lv.7,
전투 자극 버프 더미 Lv.8,
전투 자극 버프 더미 Lv.9,
전투 자극 버프 더미 Lv.10,
전투 자극 버프 더미 Lv.11,
전투 자극 버프 더미 Lv.12,
전투 자극 버프 더미 Lv.13,
전투 자극 버프 더미 Lv.14,
전투 자극 버프 더미 Lv.15,
전투 자극 버프 더미 Lv.16,
전투 자극 버프 더미 Lv.17,
전투 자극 버프 더미 Lv.18,
전투 자극 버프 더미 Lv.19,
전투 자극 버프 더미 Lv.20,
더미 홀로 버프 더미 Lv.1,
더미 홀로 버프 더미 Lv.2,
더미 홀로 버프 더미 Lv.3,
더미 홀로 버프 더미 Lv.4,
더미 홀로 버프 더미 Lv.5,
더미 홀로 버프 더미 Lv.6,
더미 홀로 버프 더미 Lv.7,
더미 홀로 버프 더미 Lv.8,
더미 홀로 버프 더미 Lv.9,
더미 홀로 버프 더미 Lv.10,
더미 홀로 버프 더미 Lv.11,
더미 홀로 버프 더미 Lv.12,
더미 홀로 버프 더미 Lv.13,
더미 홀로 버프 더미 Lv.14,
더미 홀로 버프 더미 Lv.15,
더미 홀로 버프 더미 Lv.16,
더미 홀로 버프 더미 Lv.17,
더미 홀로 버프 더미 Lv.18,
더미 홀로 버프 더미 Lv.19,
더미 홀로 버프 더미 Lv.20,
용살자의 징표 버프 더미 Lv.1,
용살자의 징표 버프 더미 Lv.2,
용살자의 징표 버프 더미 Lv.3,
용살자의 징표 버프 더미 Lv.4,
용살자의 징표 버프 더미 Lv.5,
용살자의 징표 버프 더미 Lv.6,
용살자의 징표 버프 더미 Lv.7,
용살자의 징표 버프 더미 Lv.8,
용살자의 징표 버프 더미 Lv.9,
용살자의 징표 버프 더미 Lv.10,
멈출 수 없는 본능,
"피격 시, 일정 확률로 이동 불가 / 행동 불가 / 행동력 감소 효과를 해제합니다.",
관통 75% 버프 더미,
현장 보급 (AP),
관측 보고 (AP),
혼란 디버프 더미 (뷰용),
혼란 디버프용 더미,
목표 지점 {0} 피해. 일정 확률로 혼란 효과,
혼란 디버프 더미 (적중),
혼란 디버프 더미 (크리),
혼란 디버프 더미 (행속),
적중 20 디버프 더미,
목표 지점 대상 도발 / 적중 감소. 적중 강화 효과 해제,
도발 디버프 더미,
적중 강화 해제 디버프 더미,
채프 미사일 (더미),
회피 30 디버프 더미,
회피 감소,
회피 20 디버프 더미,
회피 기동 (적중 감소),
"아군이 사망한 경우, 2라운드 동안 회피가 증가하며 공격력과 적중이 감소합니다.",
회피 기동 (행동력 감소),
"레일건을 충전해, 다음 공격이 치명타로 적용되며 공격력이 크게 증가합니다.",
대 장갑 진동탄 (피해 감소 무효),
"대 장갑 진동탄을 발사해 목표 대상의 방어력을 크게 낮춥니다. 대상에게 피해 감소 효과가 있는 경우, 해당 효과를 무효화합니다.",
대 장갑 진동탄 (10렙),
생존 본능 (피해 감소),
생존 본능 (효과 저항),
생존 본능 (적중 증가),
반격 태세 (공격),
"아군 사망 시, 2라운드 동안 공격력과 치명타가 증가하며 반격합니다.",
반격 태세 (치명),
핀 포인트 저격 (중열),
하얀 사신 (회피 더미),
피해 감소 20 탱커용 더미,
방어력 60 탱커용 더미,
방어력 75 탱커용 더미,
방어력 100 탱커용 더미,
레이더 재밍,
"자신이 사망하는 경우, 주변 철충의 센서에 오류를 일으킵니다. 오류가 일어난 대상들은 적중이 크게 감소하며, 적중 강화 효과가 해제됩니다.",
방어력 100 탱커용 더미 (대기),
고고도 스캐닝 (AP 더미),
위성 정찰로 다음 전투에 출현하는 적의 정보를 얻습니다.,
다음 출현 적 정보 획득 가능,
정보 분석 (공격력 더미),
"전투 종료 시, 정보를 분석해 다음에 출현할 적의 정보를 입수합니다. 정보를 입수한 상태면 적을 물리적으로 해킹하기 좀 더 쉬워져, 공격력이 증가합니다.",
"전투 종료 시, 다음 적 정보 획득",
편대 호위 AP 1 더미,Escoirt Squadron 1 AP Stack
"회피와 치명타가 증가하지만 받는 피해도 증가하는 상태입니다. 대기 시, 광학 미채 상태를 해제합니다.",
굶주린 늑대 AP 1 더미,
정원사의 본성 (피증 더미),
정원사의 본성 (추가 효과 더미),
장갑 오려내기 (피해량),
연속사격,
머신캐논으로 {0} 피해를 줍니다. 대상이 표식 / 방어력 감소 상태면 피해량이 증가합니다.,
단일 대상 {0} 피해. 표식 / 방어 감소 대상 피해량 증가,
암살,
"히트 블레이드로 보호 효과를 무시하고 {0} 화염 속성 피해를 줍니다. 치명타 시, 피해량이 증가하며 3라운드 동안 대상의 방어력을 낮춥니다. 해당 효과는 해로운 효과 해제로 해제되지 않습니다.",
단일 대상 보호 무시 {0} 피해. 치명타 시 피해량 증가 / 방어 감소,
스텔스 코팅,
"적 공격 시, 2라운드 동안 스텔스 코팅을 전개해 회피가 증가합니다. 회피 증가 효과는 후열에 가까울수록 증가합니다. 동일 효과는 중첩되지 않습니다.",
"적 공격 시, 회피 증가. 후열에 가까울수록 효과 증가.",
공격자 삭제,
"적 공격 회피 시, 반격합니다. 적 처치 시, 공격력 / 치명타가 증가합니다.",
"회피 시, 반격. 적 처치 시, 공격력 / 치명타 증가",
스텔스 코팅 (5렙),
"전투 개시 시, 스텔스 코팅으로 인해 회피가 크게 증가합니다. 해당 효과는 일정 횟수 공격 받으면 해제됩니다. 스킬 레벨 10에서 횟수가 1 증가합니다.",
스텔스 코팅 (10렙),
적중 30 디버프 더미,
에너지 챠지,
"챠지 상태로 라운드 개시 시, 공격력이 크게 증가합니다.",
거점 방어 모드 (몹 방어 더미),
전투 적응 회로 (더미1),
전투 적응 회로 (더미2),
전투 적응 회로 (더미3),
제네레이터 쇼트 (더미),
"피격 시, 일정 확률로 쇼트가 생겨 행동 불능이 됩니다.",
마법신의 요술봉,
"마법신의 요술봉으로 지정 대상과 주변에 {0} 피해를 줍니다. 치명타 시 피해량이 증가하며, 대상의 강화 효과를 해제합니다.",
지정 범위 {0} 피해. 치명타 시 피해량 증가 / 대상 강화 효과 해제,
모모찬바라,
"마법의 티타늄 합금 카타나로 대상에게 {0} 피해를 줍니다. 치명타 시 피해량이 증가하며, 매우 낮은 확률로 급소를 찌릅니다.",
단일 대상 {0} 피해. 치명타 시 피해량 증가.,
세기말 마법소녀,
"라운드 개시 시, 마법신의 가호를 받아 무작위 강화 효과를 얻습니다.",
"라운드 개시 시, 무작위 강화 효과",
나를 기억해주세요!,
"전투 불능 시, 주변 아군을 분기시켜 해로운 효과를 해제하고 2라운드 동안 능력치를 대폭 증가시킵니다. 스킬 레벨 10에서 효과 라운드가 증가합니다.",
"전투 불능 시, 주변 아군 능력치 대폭 증가",
나를 기억해주세요! (10렙),
"전투 불능 시, 주변 아군을 분기시켜 해로운 효과를 해제하고 3라운드 동안 능력치를 대폭 증가시킵니다.",
마법신의 요술봉 (로또용),
모모찬바라 (로또용),
제네레이터 파괴,
"파괴될 경우, 모든 파츠의 강화 효과가 해제되고 행동 불가 상태가 됩니다.",
굶주린 늑대 (자버프 더미),
"전투 개시 시, 자신이 맨 앞열에 배치된 상태면 경장형 아군의 AP가 증가하며 2라운드 동안 적중과 치명타가 증가합니다.",
"전투 개시 시, 전열이면 경장형 아군 AP 증가",
굶주린 늑대 (더미 10렙),
"전투 개시 시, 자신이 맨 앞열에 배치된 상태면 경장형 아군의 AP가 증가하며 3라운드 동안 적중과 치명타가 증가합니다.",
굶주린 늑대 (자버프 더미 10렙),
기동 준비 (더미),
냉혈한 (AP 더미),
"라이플 저격으로 보호 효과를 무시하고 {0} 피해를 줍니다. 대상이 표식 상태인 경우, 피해량이 증가하며 대상의 현재 HP %가 낮을수록 추가로 피해량이 증가합니다.",
"지정 범위에 보호 효과를 무시하고 {0} 피해를 주는 확산 입자포를 발사합니다. 대상이 표식 상태면 피해량이 증가하며, 대상의 방어력을 감소시킵니다.",
"공격 받을 때, 에너지 충전 상태면 높은 확률로 최소 피해만 받습니다.",
"플라즈마 커터로 {0} 피해를 줍니다. 대상이 표식 상태면 피해량이 증가하며, 대상의 방어력을 감소시킵니다.",
"에너지 충전 중첩이 5 이상이면, 적중과 치명타가 증가하며 반격합니다.",
긴급 요격 모드,
"자신의 HP가 50% 이하인 경우, 라운드 개시 시 AP가 증가합니다.",
"목표 대상을 조준해 표식으로 설정한 후, 받는 피해가 증가하며 회피가 감소한 상태로 만듭니다. AP를 감소시키며, 일정 확률로 강화 효과를 해제합니다.",
"목표 대상들을 조준해 표식으로 설정한 후, 받는 피해가 증가하며 회피가 감소한 상태로 만듭니다. 강화 효과를 해제하며, AP를 감소시킵니다.",
"에너지 충전 중첩이 3 이상이면, 방해 효과를 걸 확률과 회피가 대폭 증가합니다.",
반응 강화 모드,
HP가 50% 이하가 되면 매 라운드 회피가 증가합니다. 최대 3회까지 중첩됩니다.,
조준 보정 시스템 (50%),
조준 보정 시스템 (25%),
"각 장치들에게 에너지를 전달해, 공격력과 효과 저항을 증가시키며 받는 피해를 1회 무효화합니다.",
"에너지 실드를 전개해 피해를 흡수하는 방어막을 부여하고, 상태 이상을 해제합니다.",
에너지 코팅,
"스킬 사용 시, 받는 공격을 3회 무효화합니다. 3라운드 동안 받는 피해가 감소하며, 효과 저항이 증가합니다.",
"피격 시, 높은 확률로 AP가 감소하며 낮은 확률로 쇼트가 생겨 행동 불능이 됩니다.",
전사의 창,
"투창으로 {0} 피해를 주고, 2라운드 동안 대상을 도발하며 행동력을 감소시킵니다. 행동력 감소 효과는 중첩됩니다.",
단일 대상 {0} 피해. 도발 / 행동력 감소,
멧돼지 몰이,
"근접 공격으로 {0} 피해를 줍니다. 대상이 도발 상태이면 피해량이 증가하며, 공격력과 치명타를 감소시킵니다.",
단일 대상 {0} 피해. 도발 대상 피해량 증가. 공격력 / 치명타 감소,
빛나는 용맹,
"숙련된 전투 기술로 인해 받는 피해가 감소합니다. 해당 효과는 자신의 HP가 50% 이하가 될 경우에 2배로 적용되며, 행동력 증가 / 반격 효과가 추가됩니다. 라운드 개시 시, 다른 대상이 걸어준 지정 보호 효과를 무효화합니다.",
"받는 피해 감소. HP 50% 이하 시, 2배로 적용되며 행동력 증가 / 반격",
펠타스트 숙련,
